wpp_question,wpp_to_faq_annotation,ratio_question,ratio_value,partial_ratio_question,partial_ratio_value,token_sort_ratio_question,token_sort_ratio_value,token_set_ratio_question,token_set_ratio_value,token_ratio_question,token_ratio_value,partial_token_sort_ratio_question,partial_token_sort_ratio_value,partial_token_set_ratio_question,partial_token_set_ratio_value,partial_token_ratio_question,partial_token_ratio_value,WRatio_question,WRatio_value,QRatio_question,QRatio_value
14,67; 69,"[67, 79, 70]","[46.15, 45.93, 45.4]","[48, 71, 93]","[81.82, 79.17, 70.59]","[79, 69, 70]","[51.67, 48.19, 46.63]","[93, 67, 79]","[55.32, 52.63, 51.81]","[93, 67, 79]","[55.32, 52.63, 51.81]","[48, 40, 47]","[72.73, 70.59, 69.57]","[22, 24, 26]","[100.0, 100.0, 100.0]","[22, 24, 26]","[100.0, 100.0, 100.0]","[22, 24, 26]","[85.5, 85.5, 85.5]","[67, 79, 70]","[46.15, 45.93, 45.4]"
15,,"[93, 91, 28]","[51.49, 51.33, 50.98]","[18, 57, 17]","[100.0, 71.43, 70.0]","[27, 28, 22]","[51.43, 49.5, 49.21]","[22, 27, 91]","[53.97, 51.43, 50.0]","[22, 27, 91]","[53.97, 51.43, 50.0]","[18, 35, 57]","[100.0, 70.0, 66.67]","[18, 22, 91]","[100.0, 100.0, 100.0]","[18, 22, 91]","[100.0, 100.0, 100.0]","[18, 93, 57]","[90.0, 85.5, 64.29]","[93, 91, 28]","[51.49, 51.33, 50.98]"
16,48,"[91, 93, 95]","[54.1, 50.91, 50.43]","[71, 48, 53]","[79.17, 72.73, 68.85]","[91, 43, 81]","[52.46, 46.43, 45.83]","[48, 71, 43]","[77.78, 76.92, 58.82]","[48, 71, 43]","[77.78, 76.92, 58.82]","[71, 48, 102]","[75.0, 72.73, 66.67]","[2, 24, 42]","[100.0, 100.0, 100.0]","[2, 24, 42]","[100.0, 100.0, 100.0]","[2, 24, 42]","[85.5, 85.5, 85.5]","[91, 93, 95]","[54.1, 50.91, 50.43]"
17,57; 72,"[22, 19, 100]","[45.95, 45.28, 44.29]","[18, 29, 57]","[100.0, 68.42, 66.67]","[22, 27, 20]","[47.3, 47.24, 46.15]","[18, 57, 29]","[100.0, 83.33, 68.97]","[18, 57, 29]","[100.0, 83.33, 68.97]","[18, 57, 17]","[100.0, 71.43, 65.0]","[17, 18, 19]","[100.0, 100.0, 100.0]","[17, 18, 19]","[100.0, 100.0, 100.0]","[17, 23, 24]","[85.5, 85.5, 85.5]","[22, 19, 100]","[45.95, 45.28, 44.29]"
18,44; 46; 48,"[80, 66, 84]","[51.85, 47.89, 43.87]","[48, 46, 71]","[90.91, 65.0, 62.5]","[80, 76, 78]","[48.89, 47.89, 47.8]","[48, 46, 80]","[77.78, 51.85, 48.89]","[48, 46, 80]","[77.78, 51.85, 48.89]","[48, 47, 46]","[80.0, 68.57, 66.67]","[24, 42, 43]","[100.0, 100.0, 100.0]","[24, 42, 43]","[100.0, 100.0, 100.0]","[24, 42, 43]","[85.5, 85.5, 85.5]","[80, 66, 84]","[51.85, 47.89, 43.87]"
19,23,"[25, 22, 20]","[48.78, 47.06, 45.83]","[18, 57, 35]","[100.0, 71.43, 70.0]","[22, 26, 101]","[51.47, 48.7, 47.27]","[22, 26, 101]","[51.47, 48.7, 47.27]","[22, 26, 101]","[51.47, 48.7, 47.27]","[18, 57, 35]","[100.0, 71.43, 70.0]","[18, 22, 57]","[100.0, 100.0, 71.43]","[18, 22, 57]","[100.0, 100.0, 71.43]","[18, 57, 35]","[90.0, 64.29, 63.0]","[25, 22, 20]","[48.78, 47.06, 45.83]"
20,6; 7; 8,"[63, 82, 25]","[48.32, 47.06, 45.0]","[6, 16, 64]","[100.0, 72.73, 68.75]","[63, 22, 79]","[47.3, 46.62, 46.43]","[16, 11, 7]","[60.0, 58.06, 52.94]","[16, 11, 7]","[60.0, 58.06, 52.94]","[6, 16, 14]","[100.0, 71.43, 65.31]","[6, 7, 10]","[100.0, 100.0, 100.0]","[6, 7, 10]","[100.0, 100.0, 100.0]","[7, 10, 11]","[85.5, 85.5, 85.5]","[63, 82, 25]","[48.32, 47.06, 45.0]"
21,86,"[77, 46, 14]","[47.22, 46.67, 46.15]","[48, 93, 77]","[63.16, 60.38, 58.82]","[77, 47, 86]","[61.11, 53.97, 52.63]","[77, 55, 89]","[61.11, 58.54, 56.79]","[77, 55, 89]","[61.11, 58.54, 56.79]","[77, 48, 93]","[65.57, 63.64, 60.32]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[85.5, 85.5, 85.5]","[77, 46, 14]","[47.22, 46.67, 46.15]"
22,,"[82, 59, 55]","[49.5, 48.89, 47.5]","[82, 48, 65]","[55.38, 54.55, 53.85]","[71, 53, 55]","[54.84, 54.05, 52.5]","[59, 55, 71]","[55.56, 55.0, 54.84]","[59, 55, 71]","[55.56, 55.0, 54.84]","[48, 71, 55]","[81.82, 59.46, 58.33]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[85.5, 85.5, 85.5]","[82, 59, 55]","[49.5, 48.89, 47.5]"
23,50,"[63, 81, 78]","[46.33, 46.15, 44.71]","[48, 46, 6]","[57.14, 55.0, 54.55]","[81, 87, 90]","[49.7, 49.25, 46.49]","[81, 87, 91]","[51.57, 50.79, 48.18]","[81, 87, 91]","[51.57, 50.79, 48.18]","[69, 46, 14]","[57.69, 56.41, 56.0]","[4, 40, 50]","[100.0, 100.0, 100.0]","[4, 40, 50]","[100.0, 100.0, 100.0]","[4, 40, 50]","[85.5, 85.5, 85.5]","[63, 81, 78]","[46.33, 46.15, 44.71]"
24,,"[81, 78, 93]","[46.03, 45.67, 45.65]","[93, 86, 69]","[61.76, 58.33, 58.14]","[55, 91, 66]","[54.0, 51.92, 50.91]","[55, 93, 91]","[54.0, 52.17, 51.92]","[55, 93, 91]","[54.0, 52.17, 51.92]","[48, 71, 55]","[63.64, 62.5, 59.52]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[85.5, 85.5, 85.5]","[81, 78, 93]","[46.03, 45.67, 45.65]"
25,,"[56, 68, 97]","[44.63, 43.41, 43.41]","[103, 95, 2]","[56.25, 53.85, 52.63]","[91, 56, 68]","[44.64, 41.32, 40.31]","[91, 56, 68]","[44.64, 41.32, 40.31]","[91, 56, 68]","[44.64, 41.32, 40.31]","[48, 91, 92]","[54.55, 54.12, 52.94]","[48, 91, 92]","[54.55, 54.12, 52.94]","[48, 91, 92]","[54.55, 54.12, 52.94]","[103, 95, 2]","[50.62, 48.46, 47.37]","[56, 68, 97]","[44.63, 43.41, 43.41]"
26,,"[49, 98, 84]","[44.44, 42.38, 42.24]","[102, 6, 74]","[66.67, 62.5, 56.67]","[87, 98, 79]","[46.39, 46.36, 43.98]","[87, 98, 79]","[48.45, 46.36, 45.3]","[87, 98, 79]","[48.45, 46.36, 45.3]","[102, 6, 2]","[83.33, 62.5, 57.89]","[2, 11, 21]","[100.0, 100.0, 100.0]","[2, 11, 21]","[100.0, 100.0, 100.0]","[2, 11, 21]","[85.5, 85.5, 85.5]","[49, 98, 84]","[44.44, 42.38, 42.24]"
27,102 ; 103,"[79, 87, 90]","[27.64, 27.48, 27.45]","[102, 107, 6]","[100.0, 76.92, 62.5]","[87, 79, 90]","[28.74, 28.13, 25.98]","[102, 107, 104]","[100.0, 76.19, 47.06]","[102, 107, 104]","[100.0, 76.19, 47.06]","[102, 107, 16]","[100.0, 76.92, 71.43]","[4, 16, 24]","[100.0, 100.0, 100.0]","[4, 16, 24]","[100.0, 100.0, 100.0]","[98, 102, 4]","[85.5, 60.0, 57.0]","[79, 87, 90]","[27.64, 27.48, 27.45]"
28,102 ; 103,"[81, 22, 79]","[50.36, 47.33, 46.99]","[102, 103, 35]","[83.33, 56.25, 54.55]","[22, 82, 20]","[47.33, 46.27, 44.6]","[82, 103, 22]","[48.06, 47.62, 46.03]","[82, 103, 22]","[48.06, 47.62, 47.33]","[102, 103, 2]","[90.91, 58.33, 57.89]","[103, 102, 2]","[100.0, 90.91, 54.05]","[103, 102, 2]","[100.0, 90.91, 57.89]","[103, 102, 81]","[85.5, 51.82, 50.36]","[81, 22, 79]","[50.36, 47.33, 46.99]"
29,102 ; 103,"[87, 79, 63]","[41.03, 38.96, 38.68]","[6, 104, 64]","[62.5, 61.54, 55.56]","[87, 20, 79]","[44.44, 43.14, 41.56]","[104, 87, 20]","[63.16, 44.44, 43.14]","[104, 87, 20]","[63.16, 44.44, 43.14]","[104, 35, 6]","[73.08, 65.0, 62.5]","[87, 98, 99]","[100.0, 100.0, 100.0]","[87, 98, 99]","[100.0, 100.0, 100.0]","[98, 99, 100]","[85.5, 85.5, 85.5]","[87, 79, 63]","[41.03, 38.96, 38.68]"
30,102 ; 103,"[84, 72, 81]","[46.97, 44.07, 42.96]","[102, 6, 35]","[66.67, 57.14, 55.0]","[26, 24, 22]","[47.17, 46.6, 44.09]","[26, 24, 25]","[50.0, 49.48, 48.15]","[26, 24, 25]","[50.0, 49.48, 48.15]","[24, 31, 35]","[55.88, 55.0, 55.0]","[24, 25, 26]","[100.0, 100.0, 100.0]","[24, 25, 26]","[100.0, 100.0, 100.0]","[24, 26, 51]","[85.5, 85.5, 85.5]","[84, 72, 81]","[46.97, 44.07, 42.96]"
31,102 ; 103,"[109, 90, 49]","[45.45, 44.81, 43.68]","[104, 109, 46]","[65.38, 59.81, 58.82]","[81, 87, 109]","[49.1, 48.73, 48.05]","[104, 87, 109]","[63.16, 51.78, 51.35]","[104, 87, 109]","[63.16, 51.78, 51.35]","[104, 109, 98]","[65.38, 60.0, 58.18]","[83, 87, 98]","[100.0, 100.0, 100.0]","[83, 87, 98]","[100.0, 100.0, 100.0]","[83, 98, 99]","[85.5, 85.5, 85.5]","[109, 90, 49]","[45.45, 44.81, 43.68]"
32,102 ; 103,"[84, 63, 82]","[40.82, 40.51, 40.0]","[48, 2, 102]","[54.55, 52.63, 50.0]","[82, 81, 49]","[43.06, 40.27, 39.74]","[82, 69, 81]","[46.15, 43.7, 42.96]","[82, 69, 81]","[46.15, 43.7, 42.96]","[46, 96, 43]","[55.0, 51.52, 50.0]","[96, 43, 86]","[51.52, 50.0, 50.0]","[46, 96, 43]","[55.0, 51.52, 50.0]","[48, 2, 46]","[49.09, 47.37, 47.03]","[84, 63, 82]","[40.82, 40.51, 40.0]"
33,103; 106,"[79, 87, 19]","[34.54, 34.27, 30.77]","[6, 39, 40]","[62.5, 61.36, 58.82]","[79, 87, 20]","[34.02, 32.74, 31.02]","[2, 96, 87]","[53.85, 35.0, 33.61]","[2, 96, 79]","[53.85, 35.0, 34.02]","[35, 6, 107]","[65.0, 62.5, 61.54]","[2, 24, 25]","[100.0, 100.0, 100.0]","[2, 24, 25]","[100.0, 100.0, 100.0]","[25, 26, 68]","[85.5, 85.5, 85.5]","[79, 87, 19]","[34.54, 34.27, 30.77]"
34,,"[92, 67, 101]","[48.0, 47.5, 47.22]","[64, 17, 6]","[61.11, 55.0, 54.55]","[40, 37, 12]","[47.22, 47.06, 45.45]","[40, 37, 12]","[47.22, 47.06, 45.45]","[40, 37, 12]","[47.22, 47.06, 45.45]","[6, 22, 107]","[62.5, 56.72, 55.56]","[6, 22, 107]","[62.5, 56.72, 55.56]","[6, 22, 107]","[62.5, 56.72, 55.56]","[64, 6, 17]","[55.0, 53.44, 49.5]","[92, 67, 101]","[48.0, 47.5, 47.22]"
35,103; 106,"[87, 79, 90]","[35.94, 33.6, 31.35]","[102, 104, 6]","[100.0, 69.23, 62.5]","[87, 79, 90]","[36.46, 35.7, 33.51]","[102, 104, 109]","[100.0, 63.16, 51.35]","[102, 104, 109]","[100.0, 63.16, 51.35]","[102, 35, 6]","[100.0, 65.0, 62.5]","[87, 98, 99]","[100.0, 100.0, 100.0]","[87, 98, 99]","[100.0, 100.0, 100.0]","[87, 98, 99]","[85.5, 85.5, 85.5]","[87, 79, 90]","[35.94, 33.6, 31.35]"
36,,"[36, 104, 105]","[56.79, 48.65, 48.28]","[107, 36, 104]","[84.62, 72.41, 61.54]","[36, 26, 81]","[56.79, 50.57, 50.0]","[107, 36, 104]","[76.19, 56.79, 56.76]","[107, 36, 104]","[76.19, 56.79, 56.76]","[107, 35, 36]","[76.92, 70.97, 68.85]","[36, 104, 105]","[100.0, 100.0, 100.0]","[36, 104, 105]","[100.0, 100.0, 100.0]","[104, 107, 35]","[85.5, 85.5, 60.68]","[36, 104, 105]","[56.79, 48.65, 48.28]"
37,103,"[79, 87, 90]","[38.64, 38.2, 37.94]","[107, 6, 104]","[84.62, 62.5, 61.54]","[49, 87, 90]","[39.34, 38.2, 37.94]","[107, 104, 87]","[76.19, 47.06, 38.2]","[107, 104, 49]","[76.19, 47.06, 39.34]","[107, 6, 9]","[76.92, 62.5, 59.09]","[104, 106, 107]","[100.0, 100.0, 100.0]","[104, 106, 107]","[100.0, 100.0, 100.0]","[104, 106, 107]","[85.5, 85.5, 57.0]","[79, 87, 90]","[38.64, 38.2, 37.94]"
38,103,"[69, 22, 63]","[43.84, 42.86, 42.35]","[102, 103, 70]","[90.91, 76.92, 51.02]","[82, 81, 63]","[48.41, 44.44, 43.79]","[82, 103, 81]","[50.0, 47.62, 45.86]","[82, 103, 81]","[50.0, 47.62, 45.86]","[102, 103, 1]","[83.33, 62.5, 56.25]","[45, 50, 65]","[100.0, 100.0, 100.0]","[45, 50, 65]","[100.0, 100.0, 100.0]","[45, 50, 65]","[85.5, 85.5, 85.5]","[69, 22, 63]","[43.84, 42.86, 42.35]"
39,102; 103,"[84, 81, 79]","[49.67, 46.15, 43.72]","[6, 110, 48]","[62.5, 56.52, 54.55]","[81, 87, 82]","[46.15, 45.16, 45.03]","[82, 81, 100]","[47.55, 45.95, 45.45]","[82, 81, 100]","[47.55, 46.15, 45.45]","[6, 65, 18]","[62.5, 59.65, 57.14]","[6, 65, 18]","[62.5, 59.65, 57.14]","[6, 65, 18]","[62.5, 59.65, 57.14]","[65, 110, 84]","[51.0, 50.87, 49.67]","[84, 81, 79]","[49.67, 46.15, 43.72]"
40,102; 103; 106,"[87, 81, 25]","[45.07, 43.72, 43.21]","[102, 18, 61]","[66.67, 60.0, 59.15]","[79, 87, 59]","[48.57, 45.07, 44.31]","[79, 87, 59]","[46.0, 45.07, 44.31]","[79, 87, 59]","[48.57, 45.07, 44.31]","[102, 64, 18]","[66.67, 61.11, 60.0]","[56, 72, 98]","[100.0, 100.0, 100.0]","[56, 72, 98]","[100.0, 100.0, 100.0]","[56, 72, 98]","[85.5, 85.5, 85.5]","[87, 81, 25]","[45.07, 43.72, 43.21]"
41,102,"[87, 79, 82]","[47.83, 47.51, 45.64]","[35, 40, 38]","[60.0, 58.82, 52.78]","[79, 22, 41]","[47.51, 46.58, 45.26]","[82, 22, 40]","[49.28, 47.41, 45.87]","[82, 79, 22]","[49.28, 47.51, 47.41]","[35, 34, 26]","[60.0, 56.67, 53.85]","[63, 82, 83]","[100.0, 100.0, 100.0]","[63, 82, 83]","[100.0, 100.0, 100.0]","[35, 40, 34]","[54.0, 52.94, 48.45]","[87, 79, 82]","[47.83, 47.51, 45.64]"
42,102; 103,"[87, 79, 63]","[30.52, 28.28, 26.47]","[102, 107, 64]","[83.33, 76.92, 61.11]","[79, 87, 90]","[31.58, 29.78, 26.5]","[107, 53, 104]","[76.19, 50.0, 47.06]","[107, 53, 104]","[76.19, 50.0, 47.06]","[107, 35, 26]","[76.92, 75.0, 66.67]","[2, 11, 22]","[100.0, 100.0, 100.0]","[2, 11, 22]","[100.0, 100.0, 100.0]","[22, 66, 72]","[85.5, 85.5, 85.5]","[87, 79, 63]","[30.52, 28.28, 26.47]"
43,102,"[87, 79, 82]","[47.83, 47.51, 45.64]","[35, 40, 38]","[60.0, 58.82, 52.78]","[79, 22, 41]","[47.51, 46.58, 45.26]","[82, 22, 40]","[49.28, 47.41, 45.87]","[82, 79, 22]","[49.28, 47.51, 47.41]","[35, 34, 26]","[60.0, 56.67, 53.85]","[63, 82, 83]","[100.0, 100.0, 100.0]","[63, 82, 83]","[100.0, 100.0, 100.0]","[35, 40, 34]","[54.0, 52.94, 48.45]","[87, 79, 82]","[47.83, 47.51, 45.64]"
44,73; 76,"[96, 80, 68]","[53.49, 46.94, 46.55]","[11, 65, 64]","[61.54, 56.14, 55.56]","[5, 97, 26]","[49.09, 48.28, 47.83]","[77, 5, 97]","[49.41, 49.09, 48.28]","[77, 5, 97]","[49.41, 49.09, 48.28]","[48, 71, 57]","[63.64, 58.33, 57.14]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[85.5, 85.5, 85.5]","[96, 80, 68]","[53.49, 46.94, 46.55]"
45,73 ; 74,"[84, 73, 81]","[52.54, 52.0, 49.59]","[77, 74, 48]","[71.19, 70.18, 63.64]","[81, 80, 74]","[57.85, 57.14, 55.42]","[74, 77, 80]","[72.34, 69.39, 59.57]","[74, 77, 80]","[72.34, 69.39, 59.57]","[74, 80, 81]","[75.0, 68.49, 64.15]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[85.5, 85.5, 85.5]","[84, 73, 81]","[52.54, 52.0, 49.59]"
46,73 ; 74,"[84, 63, 22]","[45.57, 44.97, 44.44]","[104, 103, 58]","[57.69, 56.25, 54.76]","[87, 81, 90]","[52.36, 47.2, 45.2]","[87, 81, 90]","[52.36, 47.2, 46.33]","[87, 81, 90]","[52.36, 47.2, 46.33]","[74, 77, 51]","[63.33, 62.5, 59.7]","[2, 11, 40]","[100.0, 100.0, 100.0]","[2, 11, 40]","[100.0, 100.0, 100.0]","[2, 11, 40]","[85.5, 85.5, 85.5]","[84, 63, 22]","[45.57, 44.97, 44.44]"
47,74,"[81, 84, 79]","[44.05, 43.64, 43.08]","[104, 110, 103]","[65.38, 60.87, 56.25]","[90, 81, 66]","[46.74, 45.24, 44.74]","[87, 109, 66]","[50.28, 50.0, 49.62]","[87, 109, 66]","[50.28, 50.0, 49.62]","[102, 74, 18]","[66.67, 60.0, 57.14]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 52]","[85.5, 85.5, 85.5]","[81, 84, 79]","[44.05, 43.64, 43.08]"
48,74,"[87, 79, 109]","[44.26, 42.24, 40.62]","[109, 104, 110]","[60.0, 57.69, 56.52]","[79, 87, 109]","[45.69, 43.4, 40.62]","[87, 79, 109]","[45.96, 45.05, 41.67]","[87, 79, 109]","[45.96, 45.69, 41.67]","[110, 18, 1]","[69.57, 58.82, 56.25]","[66, 87, 109]","[100.0, 100.0, 100.0]","[66, 87, 109]","[100.0, 100.0, 100.0]","[66, 109, 110]","[85.5, 85.5, 59.48]","[87, 79, 109]","[44.26, 42.24, 40.62]"
